,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,month,Quarter,QYear,Byear
70,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUL FY2007,983,01-07-2019,JUL,Q4,2007,2019
71,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUN FY2007,453,01-06-2019,JUN,Q4,2007,2019
72,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,MAY FY2007,158,01-05-2019,MAY,Q4,2007,2019
73,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,JUL FY2011,912,01-07-2020,JUL,Q4,2011,2020
74,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,JUN FY2011,366,01-06-2020,JUN,Q4,2011,2020
75,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,MAY FY2011,228,01-05-2020,MAY,Q4,2011,2020
76,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUL FY2012,220,01-07-2021,JUL,Q4,2012,2021
77,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUN FY2012,242,01-06-2021,JUN,Q4,2012,2021
78,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,MAY FY2012,294,01-05-2021,MAY,Q4,2012,2021
79,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,AUG FY2002,239,01-08-2017,AUG,Q1,2002,2017
80,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,OCT FY2002,2951,01-10-2017,OCT,Q1,2002,2017
81,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,SEP FY2002,263,01-09-2017,SEP,Q1,2002,2017
82,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,AUG FY2008,453,01-08-2018,AUG,Q1,2008,2018
83,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,OCT FY2008,380,01-10-2018,OCT,Q1,2008,2018
84,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,SEP FY2008,1071,01-09-2018,SEP,Q1,2008,2018
85,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,AUG FY2007,301,01-08-2019,AUG,Q1,2007,2019
86,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,OCT FY2007,512,01-10-2019,OCT,Q1,2007,2019
87,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,SEP FY2007,341,01-09-2019,SEP,Q1,2007,2019
88,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,AUG FY2011,144,01-08-2020,AUG,Q1,2011,2020
89,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,OCT FY2011,296,01-10-2020,OCT,Q1,2011,2020
90,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,SEP FY2011,110,01-09-2020,SEP,Q1,2011,2020
91,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,AUG FY2012,32,01-08-2021,AUG,Q1,2012,2021
92,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,OCT FY2012,186,01-10-2021,OCT,Q1,2012,2021
93,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,SEP FY2012,370,01-09-2021,SEP,Q1,2012,2021
94,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,AUG FY2022,316,01-08-2022,AUG,Q1,2022,2022
95,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,OCT FY2022,265,01-10-2022,OCT,Q1,2022,2022
96,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,SEP FY2022,105,01-09-2022,SEP,Q1,2022,2022
97,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,DEC FY2002,920,01-12-2017,DEC,Q2,2002,2017
98,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,JAN FY2002,2804,01-01-2017,JAN,Q2,2002,2017
99,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,NOV FY2002,159,01-11-2017,NOV,Q2,2002,2017
100,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,DEC FY2008,181,01-12-2018,DEC,Q2,2008,2018
101,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,JAN FY2008,367,01-01-2018,JAN,Q2,2008,2018
102,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,NOV FY2008,821,01-11-2018,NOV,Q2,2008,2018
103,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,DEC FY2007,826,01-12-2019,DEC,Q2,2007,2019
104,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,JAN FY2007,962,01-01-2019,JAN,Q2,2007,2019
105,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,NOV FY2007,26,01-11-2019,NOV,Q2,2007,2019
106,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,DEC FY2011,102,01-12-2020,DEC,Q2,2011,2020
107,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,JAN FY2011,316,01-01-2020,JAN,Q2,2011,2020
108,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,NOV FY2011,172,01-11-2020,NOV,Q2,2011,2020
109,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,DEC FY2012,224,01-12-2021,DEC,Q2,2012,2021
110,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,JAN FY2012,37,01-01-2021,JAN,Q2,2012,2021
111,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,NOV FY2012,315,01-11-2021,NOV,Q2,2012,2021
112,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2022,DEC FY2022,129,01-12-2022,DEC,Q2,2022,2022
113,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2022,JAN FY2022,70,01-01-2022,JAN,Q2,2022,2022
114,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2022,NOV FY2022,87,01-11-2022,NOV,Q2,2022,2022
115,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,APR FY2022,2026,01-04-2016,APR,Q3,2022,2016
116,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,FEB FY2022,473,01-02-2016,FEB,Q3,2022,2016
117,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,MAR FY2022,181,01-03-2016,MAR,Q3,2022,2016
118,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,APR FY2002,2089,01-04-2017,APR,Q3,2002,2017
119,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,FEB FY2002,241,01-02-2017,FEB,Q3,2002,2017
120,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,MAR FY2002,854,01-03-2017,MAR,Q3,2002,2017
121,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,APR FY2008,1960,01-04-2018,APR,Q3,2008,2018
122,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,FEB FY2008,994,01-02-2018,FEB,Q3,2008,2018
123,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,MAR FY2008,1053,01-03-2018,MAR,Q3,2008,2018
124,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,APR FY2007,489,01-04-2019,APR,Q3,2007,2019
125,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,FEB FY2007,392,01-02-2019,FEB,Q3,2007,2019
126,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,MAR FY2007,263,01-03-2019,MAR,Q3,2007,2019
127,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,APR FY2011,468,01-04-2020,APR,Q3,2011,2020
128,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,FEB FY2011,50,01-02-2020,FEB,Q3,2011,2020
129,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,MAR FY2011,74,01-03-2020,MAR,Q3,2011,2020
130,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,APR FY2012,224,01-04-2021,APR,Q3,2012,2021
131,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,FEB FY2012,55,01-02-2021,FEB,Q3,2012,2021
132,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,MAR FY2012,461,01-03-2021,MAR,Q3,2012,2021
133,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,JUL FY2022,1805,01-07-2016,JUL,Q4,2022,2016
134,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,JUN FY2022,432,01-06-2016,JUN,Q4,2022,2016
135,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,MAY FY2022,431,01-05-2016,MAY,Q4,2022,2016
136,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,JUL FY2002,804,01-07-2017,JUL,Q4,2002,2017
137,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,JUN FY2002,1263,01-06-2017,JUN,Q4,2002,2017
138,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,MAY FY2002,419,01-05-2017,MAY,Q4,2002,2017
139,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,JUL FY2008,45,01-07-2018,JUL,Q4,2008,2018
140,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,JUN FY2008,401,01-06-2018,JUN,Q4,2008,2018
141,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,MAY FY2008,976,01-05-2018,MAY,Q4,2008,2018
142,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,JUL FY2007,497,01-07-2019,JUL,Q4,2007,2019
143,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,JUN FY2007,230,01-06-2019,JUN,Q4,2007,2019
144,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,MAY FY2007,79,01-05-2019,MAY,Q4,2007,2019
145,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,JUL FY2011,459,01-07-2020,JUL,Q4,2011,2020
146,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,JUN FY2011,188,01-06-2020,JUN,Q4,2011,2020
147,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,MAY FY2011,114,01-05-2020,MAY,Q4,2011,2020
148,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUL FY2012,143,01-07-2021,JUL,Q4,2012,2021
149,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUN FY2012,129,01-06-2021,JUN,Q4,2012,2021
150,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,MAY FY2012,147,01-05-2021,MAY,Q4,2012,2021
151,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,AUG FY2012,2,01-08-2021,AUG,Q1,2012,2021
152,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,OCT FY2012,644,01-10-2021,OCT,Q1,2012,2021
153,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,SEP FY2012,258,01-09-2021,SEP,Q1,2012,2021
154,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,AUG FY2022,464,01-08-2022,AUG,Q1,2022,2022
155,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,OCT FY2022,730,01-10-2022,OCT,Q1,2022,2022
156,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,SEP FY2022,430,01-09-2022,SEP,Q1,2022,2022
157,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,DEC FY2012,476,01-12-2021,DEC,Q2,2012,2021
158,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,JAN FY2012,542,01-01-2021,JAN,Q2,2012,2021
159,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,NOV FY2012,448,01-11-2021,NOV,Q2,2012,2021
160,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,DEC FY2022,560,01-12-2022,DEC,Q2,2022,2022
161,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,JAN FY2022,664,01-01-2022,JAN,Q2,2022,2022
162,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,NOV FY2022,518,01-11-2022,NOV,Q2,2022,2022
163,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,APR FY2011,2,01-04-2020,APR,Q3,2011,2020
164,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,MAR FY2011,2,01-03-2020,MAR,Q3,2011,2020
165,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,APR FY2012,588,01-04-2021,APR,Q3,2012,2021
166,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,FEB FY2012,370,01-02-2021,FEB,Q3,2012,2021
167,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,MAR FY2012,412,01-03-2021,MAR,Q3,2012,2021
168,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUL FY2011,0,01-07-2020,JUL,Q4,2011,2020
169,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUN FY2011,0,01-06-2020,JUN,Q4,2011,2020
170,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,MAY FY2011,12,01-05-2020,MAY,Q4,2011,2020
171,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUL FY2012,1372,01-07-2021,JUL,Q4,2012,2021
172,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUN FY2012,538,01-06-2021,JUN,Q4,2012,2021
173,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,MAY FY2012,442,01-05-2021,MAY,Q4,2012,2021
174,CPBU,DNAHW,DN2-CPU-I8276,Q1 FY2012,OCT FY2012,408,01-10-2021,OCT,Q1,2012,2021
175,CPBU,DNAHW,DN2-CPU-I8276,Q1 FY2012,SEP FY2012,76,01-09-2021,SEP,Q1,2012,2021
176,CPBU,DNAHW,DN2-CPU-I8276,Q1 FY2022,AUG FY2022,140,01-08-2022,AUG,Q1,2022,2022
177,CPBU,DNAHW,DN2-CPU-I8276,Q1 FY2022,OCT FY2022,312,01-10-2022,OCT,Q1,2022,2022
178,CPBU,DNAHW,DN2-CPU-I8276,Q1 FY2022,SEP FY2022,240,01-09-2022,SEP,Q1,2022,2022
179,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2012,DEC FY2012,152,01-12-2021,DEC,Q2,2012,2021
180,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2012,JAN FY2012,260,01-01-2021,JAN,Q2,2012,2021
181,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2012,NOV FY2012,164,01-11-2021,NOV,Q2,2012,2021
182,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2022,DEC FY2022,300,01-12-2022,DEC,Q2,2022,2022
183,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2022,JAN FY2022,316,01-01-2022,JAN,Q2,2022,2022
184,CPBU,DNAHW,DN2-CPU-I8276,Q2 FY2022,NOV FY2022,280,01-11-2022,NOV,Q2,2022,2022
185,CPBU,DNAHW,DN2-CPU-I8276,Q3 FY2011,APR FY2011,4,01-04-2020,APR,Q3,2011,2020
186,CPBU,DNAHW,DN2-CPU-I8276,Q3 FY2011,MAR FY2011,4,01-03-2020,MAR,Q3,2011,2020
187,CPBU,DNAHW,DN2-CPU-I8276,Q3 FY2012,APR FY2012,384,01-04-2021,APR,Q3,2012,2021
188,CPBU,DNAHW,DN2-CPU-I8276,Q3 FY2012,FEB FY2012,164,01-02-2021,FEB,Q3,2012,2021
189,CPBU,DNAHW,DN2-CPU-I8276,Q3 FY2012,MAR FY2012,152,01-03-2021,MAR,Q3,2012,2021
190,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2011,JUL FY2011,0,01-07-2020,JUL,Q4,2011,2020
191,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2011,JUN FY2011,0,01-06-2020,JUN,Q4,2011,2020
192,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2011,MAY FY2011,12,01-05-2020,MAY,Q4,2011,2020
193,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,JUL FY2012,644,01-07-2021,JUL,Q4,2012,2021
194,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,JUN FY2012,252,01-06-2021,JUN,Q4,2012,2021
195,CPBU,DNAHW,DN2-CPU-I8276,Q4 FY2012,MAY FY2012,296,01-05-2021,MAY,Q4,2012,2021
196,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,AUG FY2012,1504,01-08-2021,AUG,Q1,2012,2021
197,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,OCT FY2012,4760,01-10-2021,OCT,Q1,2012,2021
198,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,SEP FY2012,2296,01-09-2021,SEP,Q1,2012,2021
199,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,AUG FY2022,2920,01-08-2022,AUG,Q1,2022,2022
200,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,OCT FY2022,5160,01-10-2022,OCT,Q1,2022,2022
201,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,SEP FY2022,3008,01-09-2022,SEP,Q1,2022,2022
202,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,DEC FY2012,3192,01-12-2021,DEC,Q2,2012,2021
203,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,JAN FY2012,4080,01-01-2021,JAN,Q2,2012,2021
204,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,NOV FY2012,2872,01-11-2021,NOV,Q2,2012,2021
205,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,DEC FY2022,3976,01-12-2022,DEC,Q2,2022,2022
206,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,JAN FY2022,4888,01-01-2022,JAN,Q2,2022,2022
207,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,NOV FY2022,3808,01-11-2022,NOV,Q2,2022,2022
208,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,APR FY2011,3976,01-04-2020,APR,Q3,2011,2020
